year,month,visits,downloads
2018,5,71897,310
2018,4,70298,541
2018,3,73184,407
2018,2,67005,324
2017,11,134846,60158
2017,10,137767,60713
2017,9,142412,50234
2017,8,153199,44269
2017,7,102979,42656
2017,6,100766,26583
2017,5,109079,28859
2017,4,109445,29168
2017,3,125081,38095
2017,2,94873,30858
2017,1,87381,24845
2016,12,65516,15860
2016,11,78899,21672
2016,10,45216,4785
2016,9,32711,95
2016,8,35522,3846
2016,7,40973,6163
2016,6,49014,7165
2016,5,47312,6861
2016,4,46352,7126
2016,3,46174,7437
2016,2,39998,7170
2016,1,36951,4091
2015,12,31885,3313
2015,11,37046,4243
2015,10,35392,3716
2015,9,34270,3903
2015,8,28770,4158
2015,7,30027,4791
2015,6,30253,4343
2015,5,31541,4539
2015,4,29889,4810
2015,3,35361,4983
2015,2,37666,7273
2015,1,58482,5725
2014,12,34027,3641
2014,11,61206,12190
2014,10,75663,16006
2014,9,69625,12429
2014,8,28685,9259
2014,7,27574,10675
2014,6,28172,9339
2014,5,32879,11147
2014,4,33018,11395
2014,3,38368,17883
2014,2,38084,25761
2014,1,31176,11109
2013,12,19487,6657
2013,11,23942,10156
2013,10,24616,10145
2013,9,21759,7031
2013,8,26571,7684
2013,7,48972,14656
2013,6,39072,2785
